course_id,course_title,subject,level,num_subscribers,num_reviews,price,content_duration,combined_features
1070968,ultimate investment banking course,business finance,all levels,2147,23,200,1.5,ultimate investment banking course business finance all levels
1113822,complete gst course certification grow your ca practice,business finance,all levels,2792,923,75,39.0,complete gst course certification grow your ca practice business finance all levels
1006314,financial modeling for business analysts and consultants,business finance,intermediate level,2174,74,45,2.5,financial modeling for business analysts and consultants business finance intermediate level
1210588,beginner to pro financial analysis in excel 2017,business finance,all levels,2451,11,95,3.0,beginner to pro financial analysis in excel 2017 business finance all levels
1011058,how to maximize your profits trading options,business finance,intermediate level,1276,45,200,2.0,how to maximize your profits trading options business finance intermediate level
192870,trading penny stocks a guide for all levels in 2017,business finance,all levels,9221,138,150,3.0,trading penny stocks a guide for all levels in 2017 business finance all levels
739964,investing and trading for beginners mastering price charts,business finance,beginner level,1540,178,65,1.0,investing and trading for beginners mastering price charts business finance beginner level
403100,trading stock chart patterns for immediate explosive gains,business finance,all levels,2917,148,95,2.5,trading stock chart patterns for immediate explosive gains business finance all levels
476268,options trading 3 advanced stock profit and success method,business finance,expert level,5172,34,195,2.5,options trading 3 advanced stock profit and success method business finance expert level
1167710,the only investment strategy you need for your retirement,business finance,all levels,827,14,200,1.0,the only investment strategy you need for your retirement business finance all levels
592338,forex trading secrets of the pros with amazon s aws,business finance,all levels,4284,93,200,5.0,forex trading secrets of the pros with amazon s aws business finance all levels
975046,trading options with money flow,business finance,all levels,1380,42,200,1.0,trading options with money flow business finance all levels
742602,financial management risk and return for securities,business finance,all levels,3607,21,30,1.5,financial management risk and return for securities business finance all levels
794151,forex trading course work smarter not harder proven results,business finance,all levels,4061,52,195,2.0,forex trading course work smarter not harder proven results business finance all levels
1196544,python algo trading sentiment trading with news,business finance,all levels,294,19,200,7.0,python algo trading sentiment trading with news business finance all levels
504036,short selling learn to sell stocks before the fall,business finance,intermediate level,2276,106,75,1.5,short selling learn to sell stocks before the fall business finance intermediate level
719698,basic technical analysis learn the structure of the market,business finance,beginner level,4919,79,20,1.5,basic technical analysis learn the structure of the market business finance beginner level
564966,the complete chart pattern trading course a proven approach,business finance,all levels,2666,115,200,4.0,the complete chart pattern trading course a proven approach business finance all levels
